Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSMUSG00000075600	Zc3h3	15	-	75754430	75841915	16.290825	3.682884	9.745095
ENSMUSG00000077416	Gm23747	15	+	75759859	75759989	1.236641	0.251291	0.664928
ENSMUSG00000022575	Gsdmd	15	+	75862327	75867408	4.599133	2.442616	6.463284
ENSMUSG00000022571	Pycrl	15	-	75916477	75921560	26.447721	5.374295	14.220653
ENSMUSG00000022574	Naprt	15	-	75890956	75894481	7.829642	2.761888	7.308094
ENSMUSG00000055762	Eef1d	15	-	75894205	75909556	16.448414	25.604944	67.751961
ENSMUSG00000103906	Tigd5	15	+	75909735	75914535	5.738804	1.166150	3.085692
ENSMUSG00000022570	Tsta3	15	-	75924676	75929832	22.259876	12.828834	33.945732
ENSMUSG00000050846	Zfp623	15	+	75940952	75949400	17.486727	3.553381	9.402422
ENSMUSG00000116120	AC116487.1	15	-	75967227	75968335	0.022543	0.004581	0.012121
ENSMUSG00000034429	Zfp707	15	+	75969123	75975868	5.792357	3.546330	9.383767
ENSMUSG00000098176	Ccdc166	15	-	75979872	75982455	8.963235	1.821369	4.819434
ENSMUSG00000063704	Mapk15	15	+	75993769	75999154	0.114398	0.033133	0.087672
ENSMUSG00000046761	Fam83h	15	-	76001093	76014336	2.964556	0.614767	1.626705
ENSMUSG00000102018	K230010J24Rik	15	+	76009888	76046981	0.387681	0.706402	1.869174
ENSMUSG00000089396	Gm23027	15	+	76036459	76036616	0.000000	0.000000	0.000000
ENSMUSG00000022568	Scrib	15	-	76047158	76069784	36.154152	21.776691	57.622211
ENSMUSG00000098451	Mir6952	15	-	76064828	76064888	0.000000	0.000000	0.000000
ENSMUSG00000002524	Puf60	15	-	76070182	76080924	80.360703	50.396725	133.352249
ENSMUSG00000116288	AC116487.2	15	+	76095575	76097668	0.396994	0.080671	0.213459
ENSMUSG00000115388	Eppk1	15	-	76101481	76120195	0.139718	0.028391	0.075125
ENSMUSG00000044361	BC024139	15	-	76119517	76126596	0.817502	0.429917	1.137583
ENSMUSG00000115332	Gm48952	15	+	76083764	76087655	0.000000	0.000000	0.000000
ENSMUSG00000075590	Nrbp2	15	-	76085518	76091627	116.124870	56.581947	149.718643
ENSMUSG00000022565	Plec	15	-	76170974	76232574	105.357063	44.882984	118.762604
ENSMUSG00000088128	Gm25720	15	-	76214101	76214205	0.714286	0.145146	0.384064
ENSMUSG00000087899	Mir1942	15	-	76215611	76215673	0.984127	0.199979	0.529154
ENSMUSG00000063268	Parp10	15	-	76231174	76243441	2.923946	0.907104	2.400243
ENSMUSG00000022564	Grina	15	+	76246764	76249904	617.838013	165.242813	437.240753
ENSMUSG00000098625	Mir6953	15	+	76248191	76248258	8.588235	1.745167	4.617800
ENSMUSG00000071724	Smpd5	15	+	76294348	76296896	1.519895	0.347678	0.919974
ENSMUSG00000022562	Oplah	15	-	76296601	76328015	25.240646	9.614688	25.440943
ENSMUSG00000034259	Exosc4	15	+	76327397	76330677	38.965019	8.691368	22.997793
ENSMUSG00000063875	Rps6-ps1	15	+	76337616	76338362	2.532815	0.514679	1.361867
ENSMUSG00000022561	Gpaa1	15	+	76331231	76334907	34.646721	21.915344	57.989094
ENSMUSG00000022551	Cyc1	15	+	76343523	76346260	191.253281	90.738907	240.099670
ENSMUSG00000022552	Sharpin	15	-	76347040	76351111	22.302118	13.062878	34.565025
ENSMUSG00000109179	Gm35339	15	+	76354432	76365201	2.790142	0.566969	1.500229
ENSMUSG00000022554	Hgh1	15	+	76368898	76371437	15.066582	3.699119	9.788054
ENSMUSG00000022553	Maf1	15	+	76351294	76354380	49.302937	22.963787	60.763325
ENSMUSG00000022555	Dgat1	15	-	76502015	76511953	19.331707	11.696254	30.948870
ENSMUSG00000022558	Mroh1	15	+	76380261	76453038	16.842546	18.971426	50.199337
ENSMUSG00000099260	Mir6954	15	+	76433214	76433273	0.787500	0.160024	0.423430
ENSMUSG00000022557	Bop1	15	-	76452989	76477277	75.884499	19.258688	50.959450
ENSMUSG00000034161	Scx	15	+	76457452	76459458	4.115097	1.213845	3.211895
ENSMUSG00000022556	Hsf1	15	+	76477422	76501913	12.058729	12.038583	31.854691
ENSMUSG00000116234	AC157566.2	15	-	76526770	76527021	8.722222	1.772394	4.689844
ENSMUSG00000116376	AC157566.4	15	-	76533213	76535366	0.000000	0.000000	0.000000
ENSMUSG00000048385	Scrt1	15	-	76516203	76522499	251.780334	51.333900	135.832062
ENSMUSG00000022559	Fbxl6	15	-	76535721	76538746	36.285000	11.236924	29.733461
ENSMUSG00000022560	Slc52a2	15	+	76538832	76544608	13.402256	3.164691	8.373929
ENSMUSG00000063354	Slc39a4	15	-	76612383	76617384	0.119446	0.061622	0.163055
ENSMUSG00000022550	Adck5	15	+	76576358	76595816	9.757670	15.736427	41.639370
ENSMUSG00000116238	AC157566.3	15	+	76577825	76580863	0.272787	0.055432	0.146675
ENSMUSG00000116145	AC157566.1	15	+	76590120	76591727	2.829431	0.574953	1.521354
ENSMUSG00000034022	Cpsf1	15	-	76595803	76607591	35.186310	18.027121	47.700661
ENSMUSG00000115987	Vps28	15	-	76622087	76626086	68.314766	30.435186	80.533020
ENSMUSG00000059323	Tonsl	15	-	76626002	76639958	5.290243	1.997722	5.286073
ENSMUSG00000033837	Foxh1	15	-	76668225	76669948	0.597070	0.121327	0.321038
ENSMUSG00000053929	Cyhr1	15	-	76643395	76660117	81.226875	58.829300	155.665253
ENSMUSG00000004187	Kifc2	15	+	76659858	76668196	673.090637	182.138046	481.946320
ENSMUSG00000033819	Ppp1r16a	15	+	76671615	76694919	91.110954	36.502750	96.588089
ENSMUSG00000022546	Gpt	15	+	76695716	76699686	17.203609	6.736119	17.824106
ENSMUSG00000019080	Mfsd3	15	+	76701465	76704239	7.798476	2.309934	6.112201
ENSMUSG00000033762	Recql4	15	-	76703553	76710548	2.301666	0.536256	1.418960
ENSMUSG00000033728	Lrrc14	15	+	76710623	76717699	33.860207	10.795983	28.566708
ENSMUSG00000033707	Lrrc24	15	-	76715276	76722173	35.528973	9.281363	24.558950
ENSMUSG00000116138	C030006K11Rik	15	-	76721465	76723845	9.834641	3.031422	8.021293
ENSMUSG00000033697	Arhgap39	15	-	76723985	76818170	23.484716	17.594793	46.556702
ENSMUSG00000090429	Gm17271	15	+	76797696	76798050	1.678873	0.341154	0.902712
ENSMUSG00000022526	Zfp251	15	-	76851609	76871435	26.541563	6.822846	18.053591
ENSMUSG00000033669	Zfp7	15	+	76879259	76892395	6.706361	2.753251	7.285240
ENSMUSG00000116024	AC157554.2	15	+	76879320	76901283	2.689012	1.143374	3.025425
ENSMUSG00000055041	Commd5	15	+	76899910	76901305	21.151096	5.630351	14.898188
ENSMUSG00000115920	AC157554.1	15	-	76933705	76935060	0.317847	0.064588	0.170903
ENSMUSG00000054967	Zfp647	15	-	76910371	76925448	3.303121	1.028966	2.722695
ENSMUSG00000003970	Rpl8	15	+	76904078	76906314	608.833984	196.653656	520.355347
ENSMUSG00000063236	1110038F14Rik	15	+	76948506	76950979	21.631683	6.576630	17.402092
ENSMUSG00000095245	Gm24753	15	+	77067791	77067897	0.138318	0.028107	0.074372
ENSMUSG00000116272	AC157554.3	15	+	77014093	77015898	0.000000	0.000000	0.000000
ENSMUSG00000018893	Mb	15	-	77015487	77050670	0.005813	0.027609	0.073056
ENSMUSG00000033576	Apol6	15	+	77044729	77057106	0.000000	0.000000	0.000000
ENSMUSG00000116413	AL772386.2	15	-	77365898	77366699	0.189526	0.038513	0.101906
ENSMUSG00000010601	Apol7a	15	-	77388219	77399110	0.256330	0.076605	0.202702
ENSMUSG00000093458	Gm20688	15	-	77391702	77392381	0.000000	0.000000	0.000000
ENSMUSG00000057346	Apol9a	15	-	77403789	77411135	0.092474	0.092838	0.245653
ENSMUSG00000068252	Apol7b	15	-	77422209	77447492	0.000000	0.000000	0.000000
ENSMUSG00000086467	4930571N24Rik	15	+	77427979	77461968	0.000000	0.000000	0.000000
ENSMUSG00000082233	Gm6506	15	-	77443289	77444420	0.000000	0.000000	0.000000
ENSMUSG00000050014	Apol10b	15	-	77583819	77596125	0.393979	0.080058	0.211838
ENSMUSG00000091694	Apol11b	15	-	77633946	77643286	0.000000	0.000000	0.000000
ENSMUSG00000071716	Apol7e	15	+	77698857	77719285	0.000000	0.000000	0.000000
ENSMUSG00000115926	AL592187.1	15	+	77701124	77701675	0.000000	0.000000	0.000000
ENSMUSG00000116438	AL592187.7	15	+	77701997	77703044	0.004103	0.000834	0.002206
ENSMUSG00000116162	AL592187.4	15	-	77717636	77722849	0.000000	0.000000	0.000000
ENSMUSG00000068246	Apol9b	15	+	77729039	77736382	0.041186	0.023262	0.061554
ENSMUSG00000056656	Apol8	15	-	77747798	77757003	6.662873	1.516716	4.013305
ENSMUSG00000033565	Rbfox2	15	-	77078990	77307004	37.711864	50.183861	132.789001
ENSMUSG00000097267	1700109K24Rik	15	+	77084398	77096314	9.286485	2.723567	7.206695
ENSMUSG00000116298	AL603843.1	15	-	77113732	77115802	0.500724	0.101749	0.269234
ENSMUSG00000116185	AL591892.1	15	-	77175789	77178264	0.105816	0.021502	0.056896
ENSMUSG00000089242	Gm24056	15	-	77242406	77242551	0.000000	0.000000	0.000000
ENSMUSG00000022443	Myh9	15	-	77760587	77842175	55.407005	22.649012	59.930412
ENSMUSG00000084497	Gm22107	15	-	77840657	77840756	1.030000	0.209301	0.553820
ENSMUSG00000005354	Txn2	15	-	77915047	77929006	16.816702	27.575188	72.965324
ENSMUSG00000016552	Foxred2	15	-	77940522	77956722	13.589831	4.274020	11.309269
ENSMUSG00000016554	Eif3d	15	-	77958998	77970813	40.010677	26.696136	70.639305
ENSMUSG00000097057	Gm17638	15	+	77961674	77967126	4.846321	0.984794	2.605814
ENSMUSG00000019146	Cacng2	15	-	77991748	78120028	90.980965	18.487738	48.919472
ENSMUSG00000092375	A730060N03Rik	15	+	78119706	78144142	14.370355	2.920120	7.726783
ENSMUSG00000016637	Ift27	15	-	78159463	78174107	12.603309	8.156590	21.582743
ENSMUSG00000005716	Pvalb	15	-	78191114	78206400	51.647446	11.218046	29.683508
ENSMUSG00000071715	Ncf4	15	+	78244801	78262580	1.139174	0.404008	1.069024
ENSMUSG00000071714	Csf2rb2	15	-	78282507	78305721	1.003490	0.236126	0.624802
ENSMUSG00000098996	Mir7676-1	15	-	78284788	78284849	0.244624	0.049709	0.131532
ENSMUSG00000071713	Csf2rb	15	+	78325752	78353847	0.356753	0.116449	0.308129
ENSMUSG00000099059	Mir7676-2	15	+	78348599	78348660	0.000000	0.000000	0.000000
ENSMUSG00000044986	Tst	15	-	78399556	78405907	31.922722	17.774811	47.033031
ENSMUSG00000071711	Mpst	15	+	78406416	78414013	12.491355	10.604892	28.061071
ENSMUSG00000016942	Tmprss6	15	-	78439667	78468634	0.665972	0.142409	0.376821
ENSMUSG00000068227	Il2rb	15	-	78479256	78495271	0.103569	0.021512	0.056923
ENSMUSG00000022440	C1qtnf6	15	-	78523346	78531416	2.629904	0.640418	1.694579
ENSMUSG00000116307	AL590144.3	15	+	78531109	78532797	0.000000	0.000000	0.000000
ENSMUSG00000033287	Kctd17	15	+	78428564	78439303	119.029121	64.757042	171.350357
ENSMUSG00000068226	Gm6723	15	-	78554408	78554848	2.612245	0.530820	1.404576
ENSMUSG00000033220	Rac2	15	-	78559167	78572783	3.129230	0.833487	2.205447
ENSMUSG00000044933	Sstr3	15	-	78537008	78544685	49.448380	10.693475	28.295467
ENSMUSG00000018008	Cyth4	15	+	78597047	78622019	8.477674	5.013497	13.265963
ENSMUSG00000018169	Mfng	15	-	78755882	78773475	4.321597	1.417291	3.750222
ENSMUSG00000116499	AL592169.2	15	+	78820810	78821402	0.152614	0.031012	0.082059
ENSMUSG00000033170	Card10	15	-	78775138	78803042	5.703204	1.525328	4.036094
ENSMUSG00000043460	Elfn2	15	-	78667331	78718771	61.962574	33.694195	89.156517
ENSMUSG00000116260	AL591946.1	15	+	78670785	78676114	1.340391	0.272373	0.720714
ENSMUSG00000049521	Cdc42ep1	15	+	78842624	78850897	23.267576	4.728075	12.510721
ENSMUSG00000043501	Lgals2	15	-	78850860	78855529	0.000000	0.000000	0.000000
ENSMUSG00000033128	Gga1	15	+	78877190	78894585	78.500275	21.285433	56.322319
ENSMUSG00000099267	Mir6955	15	+	78891840	78891913	6.918919	1.405955	3.720227
ENSMUSG00000068220	Lgals1	15	+	78926725	78930465	31.053156	7.122570	18.846676
ENSMUSG00000116069	AL592169.1	15	+	78899667	78919032	0.000000	0.000000	0.000000
ENSMUSG00000022436	Sh3bp1	15	+	78899768	78912051	19.345064	7.496569	19.836294
ENSMUSG00000084864	1700027A07Rik	15	-	78911966	78913660	1.047934	0.212945	0.563463
ENSMUSG00000116165	Pdxp	15	+	78913919	78919517	343.214386	69.742691	184.542633
ENSMUSG00000033099	Nol12	15	+	78934933	78943638	14.301188	5.964210	15.781595
ENSMUSG00000115867	AL589670.1	15	-	79015329	79025782	8.077263	1.692857	4.479385
ENSMUSG00000033088	Triobp	15	+	78947724	79005869	2.659540	2.990360	7.912641
ENSMUSG00000116505	AL589670.5	15	-	78994955	79011041	0.771183	0.156708	0.414657
ENSMUSG00000099180	Mir6956	15	+	79002223	79002284	0.000000	0.000000	0.000000
ENSMUSG00000116262	AL589670.3	15	-	79026456	79028612	0.663300	0.134786	0.356649
ENSMUSG00000096210	H1f0	15	+	79028450	79030504	145.492752	29.564774	78.229866
ENSMUSG00000006378	Gcat	15	+	79030874	79038353	13.104886	3.149497	8.333727
ENSMUSG00000116378	Gcat	15	+	79030901	79042531	0.075749	0.015393	0.040729
ENSMUSG00000114755	Galr3	15	+	79041885	79043558	0.495984	0.100786	0.266685
ENSMUSG00000033055	Ankrd54	15	-	79053094	79062893	6.868080	3.605214	9.539576
ENSMUSG00000033047	Eif3l	15	+	79075179	79094405	64.702797	25.658613	67.893974
ENSMUSG00000033039	Micall1	15	+	79108898	79136900	32.230247	10.385116	27.479534
ENSMUSG00000033029	1700088E04Rik	15	-	79129349	79141253	1.272101	2.149091	5.686600
ENSMUSG00000033020	Polr2f	15	+	79141009	79151774	18.577103	16.489817	43.632877
ENSMUSG00000033006	Sox10	15	-	79154908	79165240	45.430145	10.631248	28.130810
ENSMUSG00000075555	Gm10863	15	+	79166041	79227524	2.170843	1.945968	5.149129
ENSMUSG00000018126	Baiap2l2	15	-	79258195	79285537	4.873621	1.602203	4.239510
ENSMUSG00000068206	Pick1	15	+	79229173	79249484	22.602308	16.172937	42.794399
ENSMUSG00000116121	Pick1	15	+	79229391	79256674	0.293946	0.059731	0.158052
ENSMUSG00000032988	Slc16a8	15	-	79251014	79254761	2.515121	0.679336	1.797557
ENSMUSG00000091135	Lgals1-ps2	15	+	79255574	79256092	2.420740	0.491905	1.301605
ENSMUSG00000042622	Maff	15	+	79346621	79359076	0.306252	0.359915	0.952352
ENSMUSG00000042632	Pla2g6	15	-	79286228	79328390	9.071198	6.577347	17.403988
ENSMUSG00000092494	Gm20420	15	+	79314196	79316658	0.000000	0.000000	0.000000
ENSMUSG00000009035	Tmem184b	15	-	79360684	79403569	87.288063	27.685814	73.258049
ENSMUSG00000088901	Mir1943	15	-	79375228	79375300	1.547945	0.314549	0.832313
ENSMUSG00000022433	Csnk1e	15	-	79417856	79455566	19.652361	36.388798	96.286575
ENSMUSG00000085802	Gm16059	15	+	79427220	79431629	1.580323	0.321129	0.849722
ENSMUSG00000116081	AC165278.1	15	-	79480227	79482674	58.905228	11.969804	31.672699
ENSMUSG00000044216	Kcnj4	15	-	79483714	79505241	429.340118	87.243820	230.851501
ENSMUSG00000116243	AC165278.2	15	+	79510325	79512517	8.696762	1.767221	4.676154
ENSMUSG00000022429	Dmc1	15	-	79561497	79605109	0.991126	0.258944	0.685180
ENSMUSG00000093223	Gm27903	15	-	79594668	79594793	0.309524	0.062897	0.166428
ENSMUSG00000042564	Fam227a	15	-	79609576	79658956	4.426210	4.458606	11.797693
ENSMUSG00000010830	Kdelr3	15	+	79516411	79527739	0.424522	0.086265	0.228261
ENSMUSG00000055065	Ddx17	15	-	79527736	79546741	290.553772	111.506142	295.050812
ENSMUSG00000022428	Cby1	15	+	79659199	79667660	93.298866	20.873205	55.231541
ENSMUSG00000022427	Tomm22	15	+	79670861	79673400	100.600235	30.683680	81.190544
ENSMUSG00000022426	Josd1	15	-	79674251	79687919	114.418747	23.250397	61.521709
ENSMUSG00000116239	AC118227.1	15	-	79681102	79681322	0.927602	0.188493	0.498761
ENSMUSG00000097128	Gm26884	15	-	79689140	79692385	0.614032	0.124774	0.330158
ENSMUSG00000042535	Gtpbp1	15	+	79690845	79721479	47.188454	13.896564	36.771000
ENSMUSG00000064409	n-R5s40	15	+	79692502	79692625	0.000000	0.000000	0.000000
ENSMUSG00000087543	Gm16576	15	+	79742698	79757394	1.038120	0.210951	0.558186
ENSMUSG00000042524	Sun2	15	-	79724070	79742536	51.020290	15.809290	41.832172
ENSMUSG00000089796	Gm16575	15	+	79739574	79741798	0.588108	0.119506	0.316219
ENSMUSG00000022420	Dnal4	15	-	79761453	79777849	50.991516	17.700836	46.837296
ENSMUSG00000115971	AC113595.2	15	+	79843163	79846763	0.233959	0.047542	0.125797
ENSMUSG00000116283	AC113595.3	15	+	79873869	79877223	0.257526	0.052330	0.138469
ENSMUSG00000115902	AC113595.1	15	+	79889532	79893120	0.772007	0.156875	0.415100
ENSMUSG00000009585	Apobec3	15	+	79891659	79915906	0.860324	1.865378	4.935883
ENSMUSG00000053411	Cbx7	15	-	79915807	79971119	36.363533	11.957525	31.640209
ENSMUSG00000022421	Nptxr	15	-	79786351	79804766	1493.980713	318.427917	842.576111
ENSMUSG00000089837	Npcd	15	-	79789675	79834237	5.328670	1.274397	3.372117
ENSMUSG00000089715	Cbx6	15	-	79823896	79834688	174.688995	72.424187	191.638016
ENSMUSG00000000489	Pdgfb	15	-	79995874	80014977	45.805859	14.246505	37.696960
ENSMUSG00000099222	Mir7213	15	-	79998970	79999026	0.456140	0.092690	0.245262
ENSMUSG00000116125	AC161199.1	15	+	80012331	80042457	6.515102	1.323898	3.503100
ENSMUSG00000022414	Tab1	15	+	80133127	80161707	33.594505	9.061090	23.976099
ENSMUSG00000060036	Rpl3	15	-	80077791	80091868	351.680878	157.627640	417.090576
ENSMUSG00000077734	Snord83b	15	-	80078498	80078591	1.203423	0.244541	0.647067
ENSMUSG00000088219	Gm22077	15	-	80080251	80080343	0.427419	0.086853	0.229819
ENSMUSG00000105167	Snord43	15	-	80082847	80082954	0.000000	0.000000	0.000000
ENSMUSG00000064884	Gm24204	15	-	80088447	80088553	0.000000	0.000000	0.000000
ENSMUSG00000022415	Syngr1	15	+	80091334	80119501	167.719681	144.042206	381.142853
ENSMUSG00000116127	AC140267.3	15	-	80229127	80229923	0.378670	0.076947	0.203607
ENSMUSG00000042428	Mgat3	15	+	80173721	80215519	189.385620	38.484001	101.830582
ENSMUSG00000022412	Mief1	15	+	80234018	80253371	14.748406	5.682178	15.035327
ENSMUSG00000115798	AC140267.1	15	+	80235835	80236047	0.000025	0.000005	0.000013
ENSMUSG00000042406	Atf4	15	+	80255184	80257541	145.867264	40.317516	106.682152
ENSMUSG00000051518	Rps19bp1	15	-	80260615	80264315	48.317226	13.459639	35.614876
ENSMUSG00000050439	Enthd1	15	-	80452240	80565156	0.131932	0.026809	0.070938
ENSMUSG00000088740	Gm23220	15	-	80458038	80458174	0.000000	0.000000	0.000000
ENSMUSG00000116345	AC132291.1	15	+	80475892	80477938	0.000000	0.000000	0.000000
ENSMUSG00000042351	Grap2	15	+	80572594	80652854	0.125938	0.044204	0.116966
ENSMUSG00000116433	AC147041.2	15	+	80640458	80642408	0.076884	0.015623	0.041340
ENSMUSG00000098631	Mir6957	15	+	80646073	80646136	0.000000	0.000000	0.000000
ENSMUSG00000022408	Fam83f	15	+	80671847	80700425	0.150351	0.030552	0.080842
ENSMUSG00000116220	AC147041.1	15	-	80691025	80697610	0.000000	0.000000	0.000000
ENSMUSG00000022416	Cacna1i	15	+	80287238	80398279	88.999794	25.940699	68.640381
ENSMUSG00000047888	Tnrc6b	15	+	80711313	80941085	7.191672	12.808954	33.893131
ENSMUSG00000116480	AC126682.1	15	+	80712271	80713686	1.298501	0.263861	0.698190
ENSMUSG00000092868	Mir5113	15	+	80940039	80940120	0.904181	0.183734	0.486168
ENSMUSG00000022407	Adsl	15	+	80948490	80970946	12.341331	8.157256	21.584505
ENSMUSG00000058357	Gm6612	15	+	80952505	80952899	0.439662	0.089341	0.236401
ENSMUSG00000047938	4930483J18Rik	15	+	81190774	81192763	0.127226	0.027887	0.073791
ENSMUSG00000115970	AC102334.1	15	-	81242657	81312866	0.231128	0.156232	0.413397
ENSMUSG00000050164	Mchr1	15	+	81235499	81238964	37.229332	7.565166	20.017805
ENSMUSG00000042303	Sgsm3	15	+	80977765	81012290	9.567728	24.380075	64.510895
ENSMUSG00000115976	AC141880.1	15	-	81005407	81006410	2.196968	0.446434	1.181286
ENSMUSG00000042292	Mkl1	15	-	81012281	81190757	39.671741	16.747854	44.315655
ENSMUSG00000064587	Gm25131	15	+	81039643	81039793	0.000000	0.000000	0.000000
ENSMUSG00000116321	AC102198.1	15	-	81115033	81115845	0.000000	0.000000	0.000000
ENSMUSG00000022404	Slc25a17	15	-	81318911	81360812	36.678928	13.178997	34.872284
ENSMUSG00000022403	St13	15	-	81363669	81400077	51.447193	33.513775	88.679115
ENSMUSG00000022401	Xpnpep3	15	+	81400138	81457482	11.975864	4.060712	10.744848
ENSMUSG00000047108	Dnajb7	15	-	81406926	81408299	0.654294	0.132955	0.351807
ENSMUSG00000091492	Gm17025	15	-	81415560	81419188	0.382759	0.077778	0.205805
ENSMUSG00000091198	Gm5218	15	-	81499081	81499545	0.281731	0.057249	0.151484
ENSMUSG00000103520	1110025M09Rik	15	-	81584174	81585028	2.469006	0.501713	1.327558
ENSMUSG00000022400	Rbx1	15	+	81466296	81476369	63.752300	36.335300	96.145012
ENSMUSG00000055024	Ep300	15	+	81585351	81652077	30.897297	11.011943	29.138149
ENSMUSG00000080527	Gm23880	15	+	81586133	81586186	0.732060	0.148758	0.393621
ENSMUSG00000084739	Gm22067	15	+	81592093	81592199	0.000000	0.000000	0.000000
ENSMUSG00000022394	L3mbtl2	15	+	81663889	81688315	12.649530	5.692701	15.063169
ENSMUSG00000092325	Gm18284	15	-	81674260	81674878	3.001616	0.609942	1.613936
ENSMUSG00000063765	Chadl	15	-	81678296	81697287	7.721516	10.540855	27.891628
ENSMUSG00000022391	Rangap1	15	-	81704248	81745530	215.090820	77.394440	204.789551
ENSMUSG00000022390	Zc3h7b	15	+	81745057	81796260	143.356995	52.503742	138.927521
ENSMUSG00000069439	Gm8444	15	-	81843346	81843713	0.190217	0.038653	0.102278
ENSMUSG00000097613	Gm17597	15	-	81800791	81802613	2.055605	0.417708	1.105276
ENSMUSG00000022389	Tef	15	+	81802421	81826863	119.547165	76.736916	203.049698
ENSMUSG00000048546	Tob2	15	-	81848272	81858796	22.266945	8.370174	22.147900
ENSMUSG00000116075	AC102103.1	15	+	81857741	81858305	0.000000	0.000000	0.000000
ENSMUSG00000061360	Phf5a	15	-	81864520	81871911	19.560682	9.307837	24.629002
ENSMUSG00000022477	Aco2	15	+	81872309	81915133	93.216492	235.663010	623.576050
ENSMUSG00000022476	Polr3h	15	-	81888228	81926240	19.870125	16.324389	43.195145
ENSMUSG00000042109	Csdc2	15	+	81936759	81950941	20.968292	10.905582	28.856714
ENSMUSG00000061848	Gm5805	15	+	81972390	81972845	4.146930	0.842675	2.229759
ENSMUSG00000022474	Pmm1	15	-	81951108	81960930	110.382164	56.286732	148.937500
ENSMUSG00000068117	Mei1	15	+	82069996	82126814	6.338700	1.490850	3.944864
ENSMUSG00000022471	Xrcc6	15	+	81987835	82040085	9.988246	7.537148	19.943668
ENSMUSG00000022472	Desi1	15	-	81992523	82033862	118.759842	32.881470	87.006012
ENSMUSG00000063480	Snu13	15	-	82040525	82047598	68.333542	20.635889	54.603592
ENSMUSG00000068114	Ccdc134	15	+	82127922	82142203	11.327525	3.321798	8.789642
ENSMUSG00000068105	Tnfrsf13c	15	-	82221743	82224369	0.584473	0.122661	0.324566
ENSMUSG00000096883	Shisa8	15	-	82206168	82212815	17.696684	3.857272	10.206534
ENSMUSG00000116009	AC104325.1	15	-	82229333	82233531	5.802974	1.179190	3.120196
ENSMUSG00000068101	Cenpm	15	-	82233779	82244748	4.618800	1.408223	3.726228
ENSMUSG00000022463	Srebf2	15	+	82147181	82205379	54.220303	69.660233	184.324448
ENSMUSG00000116226	AC105358.1	15	+	82185516	82187625	5.389100	1.095089	2.897660
ENSMUSG00000065465	Mir33	15	+	82198122	82198190	0.000000	0.000000	0.000000
ENSMUSG00000068099	1500009C09Rik	15	+	82252397	82260753	43.837696	29.587120	78.288994
ENSMUSG00000022453	Naga	15	-	82329532	82338925	18.834536	11.017913	29.153946
ENSMUSG00000022456	Sept3	15	+	82274893	82294574	193.878998	150.965698	399.462799
ENSMUSG00000049687	Fam109b	15	+	82338942	82345743	0.526523	0.194746	0.515308
ENSMUSG00000022452	Smdt1	15	+	82338959	82349091	15.682316	36.880627	97.587982
ENSMUSG00000064959	n-R5s41	15	+	82342653	82342771	0.000000	0.000000	0.000000
ENSMUSG00000022450	Ndufa6	15	-	82350140	82354322	45.279858	36.923477	97.701355
ENSMUSG00000068083	Cyp2d40	15	-	82759833	82764183	0.000000	0.000000	0.000000
ENSMUSG00000022445	Cyp2d26	15	-	82790101	82794294	0.000000	0.000000	0.000000
ENSMUSG00000116280	AC087902.3	15	-	82800973	82803964	0.000000	0.000000	0.000000
ENSMUSG00000061740	Cyp2d22	15	-	82370527	82380260	29.233492	9.040899	23.922668
ENSMUSG00000068085	Cyp2d11	15	-	82389154	82394022	0.000000	0.000000	0.000000
ENSMUSG00000098677	Mir7684	15	-	82393919	82393978	0.000000	0.000000	0.000000
ENSMUSG00000094806	Cyp2d10	15	-	82402846	82407195	0.000000	0.000000	0.000000
ENSMUSG00000098722	Gm27331	15	-	82407094	82407153	0.000000	0.000000	0.000000
ENSMUSG00000076395	Gm25990	15	+	82408458	82408543	0.000000	0.000000	0.000000
ENSMUSG00000116419	AC113593.4	15	-	82421451	82423447	0.000000	0.000000	0.000000
ENSMUSG00000068086	Cyp2d9	15	+	82433437	82456845	0.000000	0.000000	0.000000
ENSMUSG00000116325	AC113593.3	15	+	82433527	82436575	0.000000	0.000000	0.000000
ENSMUSG00000116472	AC113593.5	15	+	82443480	82444651	0.000000	0.000000	0.000000
ENSMUSG00000115948	AC113593.1	15	-	82449484	82449736	0.000000	0.000000	0.000000
ENSMUSG00000099086	Gm27622	15	+	82452421	82452480	0.000000	0.000000	0.000000
ENSMUSG00000116265	AC113593.2	15	+	82462621	82465111	0.000000	0.000000	0.000000
ENSMUSG00000098745	Gm27825	15	+	82504596	82504655	0.000000	0.000000	0.000000
ENSMUSG00000115931	AC132878.1	15	+	82504627	82509946	0.000000	0.000000	0.000000
ENSMUSG00000047347	Tdg-ps	15	+	82516311	82519278	1.403481	0.285194	0.754636
ENSMUSG00000116490	AC132878.6	15	-	82519913	82520227	0.000000	0.000000	0.000000
ENSMUSG00000116104	AC132878.2	15	+	82538289	82538602	0.000000	0.000000	0.000000
ENSMUSG00000116219	AC132878.3	15	-	82545538	82548652	0.000000	0.000000	0.000000
ENSMUSG00000098901	Gm28023	15	-	82548624	82548683	0.000000	0.000000	0.000000
ENSMUSG00000096852	Cyp2d12	15	+	82555072	82560403	0.000000	0.000000	0.000000
ENSMUSG00000099022	Gm27924	15	+	82555116	82555175	0.000000	0.000000	0.000000
